timestamp_us,pressure_pa,lat,lon,hae_alt_m,fix_type
767920578,100372.0,22.9111742,120.3138393,123.597,4.0
768352583,100376.0,22.9110836,120.3138965,123.869,4.0
768892558,100386.0,22.9109889,120.3139411,124.384,4.0
769324581,100381.0,22.9108935,120.3139774,125.106,4.0
769864583,100377.0,22.9107994,120.3140087,125.713,4.0
770512771,100372.0,22.9107061,120.3140359,126.045,4.0
770944783,100364.0,22.9106125,120.3140546,126.224,4.0
771485012,100351.0,22.910519,120.3140614,126.195,4.0
771917039,100359.0,22.910428,120.314053,126.222,4.0
772349006,100371.0,22.9103415,120.3140307,126.222,4.0
772456979,100363.0,22.9103415,120.3140307,126.222,4.0
772889042,100364.0,22.9102605,120.3139979,126.057,4.0
773321004,100375.0,22.9101856,120.3139575,125.801,4.0
773947421,100367.5,22.9101181,120.3139107,125.466,4.0
774509051,100387.0,22.9100595,120.3138581,125.082,4.0
774941014,100404.0,22.9100096,120.3138026,124.522,4.0
775481024,100416.0,22.9099643,120.3137476,123.698,4.0
775913034,100409.0,22.90992,120.313694,122.257,4.0
776345074,100432.0,22.9098788,120.3136393,121.455,4.0
776885403,100438.0,22.9098434,120.3135847,120.877,4.0
777317412,100449.0,22.9098186,120.3135311,120.248,4.0
777857445,100466.0,22.9098073,120.3134801,119.672,4.0
778505413,100483.0,22.9098059,120.3134334,119.043,4.0
778937488,100485.0,22.909809,120.3133896,117.898,4.0
779347907,100495.836,22.9098143,120.3133458,116.591,4.0
779477496,100491.0,22.9098143,120.3133458,116.591,4.0
779909631,100502.0,22.90982,120.3133001,115.822,4.0
780341811,100514.0,22.9098241,120.3132534,115.24,4.0
780881917,100526.0,22.9098276,120.3132061,114.134,4.0
781941043,100559.5,22.9098353,120.3131066,111.103,4.0
782502589,100574.0,22.9098396,120.3130535,109.389,4.0
782934604,100590.0,22.9098438,120.312998,107.679,4.0
783474696,100606.0,22.9098478,120.31294,106.207,4.0
783906697,100625.0,22.9098513,120.3128806,104.856,4.0
784338828,100631.0,22.9098565,120.312821,103.681,4.0
784878794,100644.0,22.909866,120.3127631,102.082,4.0
785948177,100674.29,22.9099035,120.3126529,99.718,4.0
786499004,100699.0,22.9099246,120.3125992,99.398,4.0
786931013,100696.0,22.9099444,120.3125465,98.014,4.0
787341391,100702.836,22.9099631,120.3124921,96.267,4.0
787471030,100697.0,22.9099631,120.3124921,96.267,4.0
787903174,100747.0,22.9099809,120.3124346,94.945,4.0
788335522,100761.0,22.9099985,120.3123768,93.271,4.0
788875487,100793.0,22.9100144,120.3123159,89.771,4.0
789933967,100870.836,22.910045,120.3121887,81.06,4.0
790495632,100931.0,22.9100615,120.31212,76.358,4.0
