avg_latitude,avg_longitude,h_phys_m,avg_temperature,avg_humidity,avg_pressure,week_seq,residual_mean,residual_std,h_pred_mean,h_pred_std
22.600506329113927,114.05253164556962,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.31877154,0.6786057,150.31877154111862,0.6786057
22.600506329113927,114.05278481012658,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.5202272,0.9528143,150.5202271938324,0.9528143
22.600506329113927,114.05303797468355,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.529171,0.77948415,150.52917098999023,0.77948415
22.600506329113927,114.0532911392405,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.5155055,0.8126949,150.51550549268723,0.8126949
22.600506329113927,114.05354430379747,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.21369658,0.6123755,150.2136965841055,0.6123755
22.600506329113927,114.05379746835443,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.41843244,0.9634952,150.41843244433403,0.9634952
22.600506329113927,114.05405063291138,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.7741806,1.6469444,150.77418059110641,1.6469444
22.600506329113927,114.05430379746835,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.527909,0.7357431,150.5279089808464,0.7357431
22.600506329113927,114.05455696202532,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.10482316,0.74009126,150.10482315719128,0.74009126
22.600506329113927,114.05481012658227,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.5270315,1.1791186,150.52703148126602,1.1791186
22.600506329113927,114.05506329113923,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.28325683,0.8892175,150.28325682878494,0.8892175
22.600506329113927,114.0553164556962,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.20315075,0.53177106,150.20315074920654,0.53177106
22.600506329113927,114.05556962025317,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.87090784,2.2823055,150.87090784311295,2.2823055
22.600506329113927,114.05582278481012,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.02813764,0.77326846,150.02813763916492,0.77326846
22.600506329113927,114.05607594936708,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.240254,0.6288339,150.2402539998293,0.6288339
22.600506329113927,114.05632911392405,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.31206828,0.73088706,150.3120682835579,0.73088706
22.600506329113927,114.056582278481,150.0,21.59607881568628,61.94148634401749,100412.83249335106,1,0.33004627,0.8669666,150.33004626631737,0.8669666
